"((32, 1), (10, 1))",1
"((32, 1), (36, 1))",1
"((32, 1), (7, 1))",0
"((32, 3), (31, 3))",0
"((32, 3), (49, 3))",1
"((33, 1), (29, 1))",0
"((33, 1), (34, 1))",0
"((33, 1), (37, 1))",1
"((33, 3), (3, 3))",1
"((33, 3), (35, 3))",0
"((34, 1), (11, 1))",0
"((34, 1), (33, 1))",0
"((34, 1), (8, 1))",0
"((34, 3), (18, 3))",0
"((34, 3), (36, 3))",0
"((35, 1), (11, 1))",0
"((35, 1), (9, 1))",1
"((35, 3), (33, 3))",0
"((35, 3), (4, 3))",1
"((36, 1), (32, 1))",1
"((36, 3), (34, 3))",0
"((36, 3), (4, 3))",1
"((37, 1), (13, 1))",0
"((37, 1), (33, 1))",1
"((37, 1), (39, 1))",0
"((37, 3), (31, 3))",0
"((37, 3), (6, 3))",0
"((38, 1), (12, 1))",0
"((38, 1), (41, 1))",1
"((38, 3), (4, 3))",1
"((38, 3), (42, 3))",0
"((38, 3), (57, 3))",0
"((39, 1), (11, 1))",1
"((39, 1), (37, 1))",0
"((39, 1), (40, 1))",0
"((39, 3), (54, 3))",0
"((39, 3), (58, 3))",1
"((39, 3), (7, 3))",1
"((4, 1), (1, 1))",1
"((4, 1), (18, 1))",0
"((4, 1), (25, 1))",0
"((4, 1), (26, 1))",1
"((4, 2), (1, 2))",1
"((4, 3), (35, 3))",0
"((4, 3), (36, 3))",1
"((4, 3), (38, 3))",1
"((4, 3), (54, 3))",0
"((40, 1), (39, 1))",0
"((40, 3), (57, 3))",0
"((41, 1), (12, 1))",1
"((41, 1), (14, 1))",0
"((41, 1), (38, 1))",0
"((41, 3), (7, 3))",0
"((42, 1), (15, 1))",0
"((42, 3), (38, 3))",1
"((42, 3), (7, 3))",0
"((43, 1), (44, 1))",0
"((43, 1), (45, 1))",0
"((43, 3), (7, 3))",1
"((44, 1), (43, 1))",0
"((44, 1), (46, 1))",1
"((44, 3), (45, 3))",0
"((44, 3), (7, 3))",0
"((45, 1), (13, 1))",0
"((45, 1), (43, 1))",0
"((45, 1), (46, 1))",0
"((45, 1), (47, 1))",0
"((45, 3), (44, 3))",1
"((45, 3), (8, 3))",0
"((46, 1), (15, 1))",0
"((46, 1), (44, 1))",0
"((46, 1), (45, 1))",1
"((46, 1), (48, 1))",0
"((46, 3), (26, 3))",0
"((46, 3), (47, 3))",0
"((46, 3), (9, 3))",1
"((47, 1), (45, 1))",1
"((47, 1), (48, 1))",1
"((47, 3), (1, 3))",0
"((47, 3), (28, 3))",1
"((47, 3), (46, 3))",0
"((48, 1), (46, 1))",1
"((48, 1), (47, 1))",1
"((48, 3), (14, 3))",1
"((48, 3), (15, 3))",0
"((48, 3), (3, 3))",1
"((48, 3), (49, 3))",1
"((49, 1), (12, 1))",0
"((49, 1), (14, 1))",1
"((49, 3), (3, 3))",0
"((49, 3), (32, 3))",0
"((49, 3), (48, 3))",0
"((49, 3), (50, 3))",1
"((5, 1), (20, 1))",0
"((5, 1), (22, 1))",1
"((5, 1), (23, 1))",1
"((5, 1), (27, 1))",1
"((5, 2), (11, 2))",1
"((5, 2), (6, 2))",0
"((5, 3), (11, 3))",0
"((5, 3), (20, 3))",0
"((5, 3), (23, 3))",0
"((5, 3), (25, 3))",0
"((50, 3), (2, 3))",1
"((50, 3), (30, 3))",1
"((50, 3), (49, 3))",0
"((51, 3), (1, 3))",0
"((51, 3), (29, 3))",1
"((51, 3), (52, 3))",0
"((52, 3), (18, 3))",0
"((52, 3), (51, 3))",1
"((52, 3), (53, 3))",0
"((53, 3), (16, 3))",1
"((53, 3), (3, 3))",1
"((53, 3), (52, 3))",1
"((54, 3), (39, 3))",1
"((54, 3), (4, 3))",1
"((54, 3), (55, 3))",0
"((55, 3), (22, 3))",0
"((55, 3), (54, 3))",1
"((55, 3), (56, 3))",1
"((56, 3), (21, 3))",0
"((56, 3), (55, 3))",0
"((56, 3), (6, 3))",1
"((57, 3), (38, 3))",1
"((57, 3), (40, 3))",1
"((57, 3), (7, 3))",0
"((58, 3), (24, 3))",0
"((58, 3), (39, 3))",1
"((58, 3), (59, 3))",1
"((59, 3), (25, 3))",0
"((59, 3), (58, 3))",1
"((59, 3), (60, 3))",0
"((59, 3), (8, 3))",0
"((6, 1), (18, 1))",0
"((6, 1), (23, 1))",0
"((6, 1), (25, 1))",1
"((6, 1), (27, 1))",0
"((6, 1), (31, 1))",1
"((6, 2), (1, 2))",1
"((6, 2), (11, 2))",1
"((6, 2), (2, 2))",0
"((6, 2), (5, 2))",0
"((6, 3), (23, 3))",1
"((6, 3), (24, 3))",0
"((6, 3), (37, 3))",0
"((6, 3), (56, 3))",1
"((60, 3), (59, 3))",0
"((60, 3), (8, 3))",1
"((7, 1), (24, 1))",1
"((7, 1), (30, 1))",0
"((7, 1), (32, 1))",0
"((7, 2), (12, 2))",1
"((7, 2), (14, 2))",1
"((7, 3), (39, 3))",0
"((7, 3), (41, 3))",0
"((7, 3), (42, 3))",1
"((7, 3), (43, 3))",1
"((7, 3), (44, 3))",0
"((7, 3), (57, 3))",1
"((8, 1), (27, 1))",1
"((8, 1), (29, 1))",0
"((8, 1), (31, 1))",0
"((8, 1), (34, 1))",0
"((8, 2), (14, 2))",1
"((8, 2), (9, 2))",0
"((8, 3), (45, 3))",1
"((8, 3), (59, 3))",1
"((8, 3), (60, 3))",1
"((9, 1), (10, 1))",1
"((9, 1), (25, 1))",1
"((9, 1), (28, 1))",1
"((9, 1), (31, 1))",1
"((9, 1), (35, 1))",0
"((9, 2), (16, 2))",1
"((9, 2), (8, 2))",0
"((9, 3), (10, 3))",1
"((9, 3), (12, 3))",1
"((9, 3), (46, 3))",0
